episode,reward,steps,loss
398,17,22,None
399,12,17,None
400,12,17,None
401,12,17,None
402,9,14,None
403,22,27,None
404,9,14,None
405,15,20,None
406,7,12,None
407,7,12,None
408,22,27,None
409,15,20,None
410,18,23,None
411,19,24,None
412,33,28,None
413,14,19,None
414,18,23,None
415,15,20,None
416,18,23,None
417,13,18,None
418,15,20,None
419,17,22,None
420,15,20,None
421,11,16,None
422,16,21,None
423,20,25,None
424,9,14,None
425,18,23,None
426,25,30,None
427,14,19,None
428,15,20,None
429,38,33,None
430,14,19,None
431,27,32,None
432,8,13,None
433,13,18,None
434,19,24,None
435,14,19,None
436,18,23,None
437,8,13,None
438,20,25,None
439,13,18,None
440,13,18,None
441,12,17,None
442,16,21,None
443,12,17,None
444,14,19,None
445,12,17,None
446,20,25,None
447,11,16,None
448,18,23,None
449,17,22,None
450,15,20,None
451,17,22,None
452,11,16,None
453,14,19,None
454,14,19,None
455,25,20,None
456,27,32,None
457,22,27,None
458,9,14,None
459,16,21,None
460,19,24,None
461,18,23,None
462,12,17,None
463,10,15,None
464,16,21,None
465,22,27,None
466,13,18,None
467,21,26,None
468,15,20,None
469,14,19,None
470,12,17,None
471,20,25,None
472,13,18,None
473,21,26,None
474,20,25,None
475,11,16,None
476,12,17,None
477,26,31,None
478,19,24,None
479,13,18,None
480,15,20,None
481,20,25,None
482,30,25,None
483,10,15,None
484,21,26,None
485,24,29,None
486,17,22,None
487,22,27,None
488,24,29,None
489,11,16,None
490,18,23,None
491,24,29,None
492,15,20,None
493,18,23,None
494,16,21,None
495,13,18,None
496,20,25,None
497,22,17,None
498,11,16,None
499,13,18,None
500,9,14,None
501,14,19,None
502,16,21,None
503,15,20,None
504,26,21,None
505,29,34,None
506,17,22,None
507,13,18,None
508,21,26,None
509,14,19,None
510,14,19,None
511,20,25,None
512,10,15,None
513,22,27,None
514,14,19,None
515,26,31,None
516,20,25,None
517,17,22,None
518,21,26,None
519,17,22,None
520,22,27,None
521,18,23,None
522,11,16,None
523,19,24,None
524,18,23,None
525,16,21,None
526,22,27,None
527,14,19,None
528,19,24,None
529,22,27,None
530,14,19,None
531,18,23,None
532,10,15,None
533,16,21,None
534,14,19,None
535,16,21,None
536,19,24,None
537,23,28,None
538,19,24,None
539,6,11,None
540,16,21,None
541,17,22,None
542,17,22,None
543,9,14,None
544,9,14,None
545,25,30,None
546,27,32,None
547,28,33,None
548,45,30,None
549,16,21,None
550,11,16,None
551,14,19,None
552,21,26,None
553,13,18,None
554,13,18,None
555,18,23,None
556,20,25,None
557,21,26,None
558,18,23,None
559,15,20,None
560,24,29,None
561,23,28,None
562,17,22,None
563,19,24,None
564,22,27,None
565,14,19,None
566,25,30,None
567,18,23,None
568,8,13,None
569,24,29,None
570,13,18,None
571,16,21,None
572,22,27,None
573,7,12,None
574,11,16,None
575,18,23,None
576,16,21,None
577,30,35,None
578,20,25,None
579,7,12,None
580,14,19,None
581,17,22,None
582,26,31,None
583,22,27,None
584,25,30,None
585,13,18,None
586,27,32,None
587,18,23,None
588,20,25,None
589,15,20,None
590,20,25,None
591,21,26,None
592,24,29,None
593,36,31,None
594,21,26,None
595,17,22,None
596,24,29,None
597,32,27,None
598,19,24,None
599,23,28,None
600,25,20,None
601,26,31,None
602,17,22,None
603,17,22,None
604,21,26,None
605,28,33,None
606,17,22,None
607,63,28,None
608,22,27,None
609,15,20,None
610,32,27,None
611,18,23,None
612,30,25,None
613,22,27,None
614,61,26,None
615,26,31,None
616,21,26,None
617,21,26,None
618,12,17,None
619,23,28,None
620,26,31,None
621,20,25,None
622,23,28,None
623,14,19,None
624,18,23,None
625,30,25,None
626,10,15,None
627,49,34,None
628,22,27,None
629,16,21,None
630,19,24,None
631,21,26,None
632,25,30,None
633,22,27,None
634,18,23,None
635,22,27,None
636,28,33,None
637,25,30,None
638,23,28,None
639,20,25,None
640,20,25,None
641,23,28,None
642,19,24,None
643,15,20,None
644,17,22,None
645,15,20,None
646,45,30,None
647,36,31,None
648,17,22,None
649,24,29,None
650,33,28,None
651,17,22,None
652,23,28,None
653,18,23,None
654,15,20,None
655,27,22,None
656,32,27,None
657,21,26,None
658,17,22,None
659,53,38,None
660,12,17,None
661,29,24,None
662,19,24,None
663,17,22,None
664,20,25,None
665,18,23,None
666,12,17,None
667,15,20,None
668,13,18,None
669,17,22,None
670,16,21,None
671,23,28,None
672,30,25,None
673,28,23,None
674,19,24,None
675,19,24,None
676,32,27,None
677,15,20,None
